Rank,Name,City,State,Tuition,Enrollment,Acceptance_Rate
#57,Villanova University,Villanova,PA,70826,"7,009",27%
#59,George Washington University,Washington,DC,70170,"11,677",47%
#59,The Pennsylvania State University--University Park,University Park,PA,43490,"42,619",61%
#59,Santa Clara University,Santa Clara,CA,63514,"6,577",48%
#59,Stony Brook University--SUNY,Stony Brook,NY,34911,"18,263",49%
#59,University of Minnesota--Twin Cities,Minneapolis,MN,41368,"41,303",80%
#64,Michigan State University,East Lansing,MI,46094,"41,234",85%
#64,North Carolina State University,Raleigh,NC,33993,"28,422",42%
#64,Rensselaer Polytechnic Institute,Troy,NY,66024,"5,743",63%
#64,University of Massachusetts--Amherst,Amherst,MA,41759,"23,920",60%
#64,University of Miami,Coral Gables,FL,65430,"13,250",19%
#69,Brandeis University,Waltham,MA,70957,"3,632",41%
#69,Tulane University of Louisiana,New Orleans,LA,71997,"7,283",14%
#69,University of Connecticut,Storrs,CT,44004,"20,056",52%
#69,University of Pittsburgh,Pittsburgh,PA,43432,"20,418",58%
#73,Binghamton University--SUNY,Binghamton,NY,30447,"14,668",39%
#73,Indiana University--Bloomington,Bloomington,IN,42295,"38,093",78%
#75,Clemson University,Clemson,SC,40866,"23,401",38%
#75,Rutgers University--Newark,Newark,NJ,38937,"7,989",71%
#75,Syracuse University,Syracuse,NY,68429,"15,957",46%
#75,University at Buffalo--SUNY,Buffalo,NY,32366,"20,360",74%
#75,"University of California, Riverside",Riverside,CA,52703,"22,599",77%
#80,Colorado School of Mines,Golden,CO,46906,"6,195",61%
#80,Drexel University,Philadelphia,PA,64212,"11,757",79%
#80,New Jersey Institute of Technology,Newark,NJ,39912,"10,200",65%
#80,Stevens Institute of Technology,Hoboken,NJ,65606,"4,204",48%
#84,Pepperdine University,Malibu,CA,72672,"3,553",63%
#84,University of Illinois Chicago,Chicago,IL,33726,"22,495",77%
#84,Worcester Polytechnic Institute,Worcester,MA,63046,"5,558",60%
#84,Yeshiva University,New York,NY,53150,"2,331",56%
#88,American University,Washington,DC,61992,"7,476",62%
#88,Baylor University,Waco,TX,63620,"14,915",51%
#88,Howard University,Washington,DC,38936,"11,519",41%
#88,Marquette University,Milwaukee,WI,53270,"8,045",81%
#88,Rochester Institute of Technology,Rochester,NY,61804,"14,267",67%
#88,Southern Methodist University,Dallas,TX,69722,"7,285",63%
#88,"University of California, Santa Cruz",Santa Cruz,CA,54105,"17,940",66%
#88,University of Delaware,Newark,DE,43220,"19,287",69%
#88,University of South Florida,Tampa,FL,17324,"38,525",43%
